serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,match_played
01,Erokhin,Zenit,Midfielder,98,27,26,6
02,Eric García,Barcelona,Defender,97.5,203,197,4
03,Ulreich,Bayern,Goalkeeper,97,32,31,1
04,Rugani,Juventus,Defender,96.8,130,122,4
05,J. Timber,Ajax,Midfielder,95.8,497,474,8
06,Egan-Riley,Man. City,Defender,95,61,58,1
06,Mario Gaspar,Villarreal,Defender,95,32,29,2
08,Marlon,Shakhtar Donetsk,Defender,94.8,424,402,5
09,Süle,Bayern,Defender,94.7,429,413,7
09,Laporte,Man. City,Defender,94.7,707,672,9
11,Maycon,Shakhtar Donetsk,Midfielder,94.5,395,373,6
11,Nianzou,Bayern,Midfielder,94.5,199,192,4
13,Marcos Antônio,Shakhtar Donetsk,Midfielder,94.4,234,224,5
13,Stones,Man. City,Defender,94.4,545,523,8
15,Stepanenko,Shakhtar Donetsk,Midfielder,94.3,146,137,4
16,Rodri,Man. City,Midfielder,94.2,806,760,10
16,Matip,Liverpool,Defender,94.2,498,467,7
18,Martínez,Ajax,Defender,94.1,674,633,8
19,Arthur,Juventus,Midfielder,94,293,278,6
19,Bondar,Shakhtar Donetsk,Defender,94,105,99,1
19,Fábio Cardoso,Porto,Defender,94,39,36,2
19,Shabanov,Dynamo Kyiv,Defender,94,35,33,1
23,Paredes,Paris,Midfielder,93.8,315,298,5
24,Lindelöf,Man. United,Defender,93.6,280,263,5
24,Daniel Bragança,Sporting CP,Midfielder,93.6,66,61,5
24,Matheus Cunha,Atlético,Forward,93.6,19,17,5
27,Wijnaldum,Paris,Midfielder,93.4,97,89,5
27,Christensen,Chelsea,Defender,93.4,552,517,8
29,Kimpembe,Paris,Defender,93.3,376,352,7
29,Álvarez,Ajax,Midfielder,93.3,363,340,7
31,Witsel,Dortmund,Midfielder,93.2,311,294,6
32,Upamecano,Bayern,Defender,93.1,562,519,8
32,Thiago Silva,Chelsea,Defender,93.1,607,571,9
34,Verratti,Paris,Midfielder,93,436,403,5
34,Minamino,Liverpool,Forward,93,76,69,4
34,Vitão,Shakhtar Donetsk,Defender,93,73,68,1
37,Gavi,Barcelona,Midfielder,92.8,164,153,6
37,Piqué,Barcelona,Defender,92.8,288,269,5
37,Matviyenko,Shakhtar Donetsk,Defender,92.8,350,328,4
40,De Vrij,Inter,Defender,92.7,322,301,6
41,Rúben Dias,Man. City,Defender,92.6,464,431,8
42,Marquinhos,Paris,Defender,92.5,509,475,8
43,Wendel,Zenit,Midfielder,92.3,295,274,6
43,Alaba,Real Madrid,Defender,92.3,657,606,12
43,Rekik,Sevilla,Defender,92.3,93,86,4
46,Chistiakov,Zenit,Defender,92.2,209,196,5
46,Demiral,Atalanta,Defender,92.2,176,162,6
48,L. Hernández,Bayern,Defender,92,543,496,8
48,Orbán,Leipzig,Defender,92,194,176,4
48,Kryvtsov,Shakhtar Donetsk,Defender,92,167,153,3
48,Simakan,Leipzig,Defender,92,158,142,4
48,Steffen,Man. City,Goalkeeper,92,25,23,1
53,Kroos,Real Madrid,Midfielder,91.9,814,752,12
54,Thiago Alcántara,Liverpool,Midfielder,91.8,553,508,10
54,Aurier,Villarreal,Defender,91.8,66,58,5
56,Barrios,Zenit,Midfielder,91.7,306,282,6
57,Bernardo Silva,Man. City,Midfielder,91.6,462,427,11
57,Handanovič,Inter,Goalkeeper,91.6,253,230,8
59,Jorginho,Chelsea,Midfielder,91.5,519,477,8
59,Jordán,Sevilla,Midfielder,91.5,221,203,6
59,Bailly,Man. United,Defender,91.5,107,98,2
62,Gonçalo Inácio,Sporting CP,Defender,91.4,271,246,7
62,Škriniar,Inter,Defender,91.4,451,416,8
64,Kovačić,Chelsea,Midfielder,91.3,457,425,6
64,Pyatov,Shakhtar Donetsk,Goalkeeper,91.3,83,75,3
66,C. Martins Pereira,Young Boys,Midfielder,91.2,177,162,5
66,Marlos,Shakhtar Donetsk,Midfielder,91.2,126,110,6
68,Mendy,Real Madrid,Defender,91.1,413,376,10
69,Nacho,Real Madrid,Defender,91,304,283,9
70,Neuer,Bayern,Goalkeeper,90.9,352,318,9
71,Gündoğan,Man. City,Midfielder,90.8,406,367,10
71,Correa,Inter,Forward,90.8,27,24,5
73,Van Dijk,Liverpool,Defender,90.7,667,609,9
73,Luís Neto,Sporting CP,Defender,90.7,220,202,6
73,Kampl,Leipzig,Midfielder,90.7,180,165,3
73,D'Ambrosio,Inter,Defender,90.7,64,56,3
77,Brozović,Inter,Midfielder,90.6,559,506,8
78,Vidal,Inter,Midfielder,90.4,254,222,7
78,Hakimi,Paris,Defender,90.4,417,378,8
80,Rüdiger,Chelsea,Defender,90.3,750,681,9
80,James,Chelsea,Defender,90.3,359,324,6
80,Aké,Man. City,Defender,90.3,259,244,6
80,Schuurs,Ajax,Defender,90.3,111,99,3
80,Tătăruşanu,Milan,Goalkeeper,90.3,93,83,3
80,Jović,Real Madrid,Forward,90.3,40,36,3
80,Fabinho,Liverpool,Midfielder,90.3,595,549,13
87,Pavard,Bayern,Defender,90.2,676,613,10
87,McTominay,Man. United,Midfielder,90.2,217,197,5
87,Hudson-Odoi,Chelsea,Midfielder,90.2,149,134,5
87,Sarr,Bayern,Defender,90.2,72,62,5
87,Diego Carlos,Sevilla,Defender,90.2,414,374,6
87,Lauper,Young Boys,Midfielder,90.2,348,313,6
87,F. de Jong,Barcelona,Midfielder,90.2,346,312,6
87,Zabarnyi,Dynamo Kyiv,Defender,90.2,241,221,6
95,Koundé,Sevilla,Defender,90,343,311,5
95,Nico González,Barcelona,Midfielder,90,143,129,4
95,Solomon,Shakhtar Donetsk,Midfielder,90,136,123,5
95,Bürgy,Young Boys,Defender,90,130,117,2
95,Vida,Beşiktaş,Defender,90,99,90,2
95,Kuzyaev,Zenit,Midfielder,90,79,71,4
95,Sarr,Chelsea,Defender,90,71,68,2
95,Reinier,Dortmund,Forward,90,71,64,3
95,Andriyevskiy,Dynamo Kyiv,Midfielder,90,48,40,2
104,Ederson,Man. City,Goalkeeper,89.9,318,277,11
104,Messi,Paris,Forward,89.9,428,385,7
106,Modrić,Real Madrid,Midfielder,89.8,799,723,13
106,Kanté,Chelsea,Midfielder,89.8,274,245,6
106,Vitinha,Porto,Midfielder,89.8,142,127,6
106,Pongračić,Dortmund,Defender,89.8,89,78,5
110,Alisson Becker,Liverpool,Goalkeeper,89.7,461,415,13
110,Maguire,Man. United,Defender,89.7,346,311,6
110,Zappacosta,Atalanta,Defender,89.7,188,162,6
113,Danilo,Juventus,Defender,89.6,362,331,5
114,Kimmich,Bayern,Midfielder,89.5,688,616,8
114,Konaté,Liverpool,Defender,89.5,515,465,8
114,Innocent,Malmö,Midfielder,89.5,225,202,6
114,Sutormin,Zenit,Midfielder,89.5,160,145,4
118,Adams,Leipzig,Midfielder,89.4,166,146,5
119,Barkley,Chelsea,Midfielder,89.3,69,61,3
119,Bonucci,Juventus,Defender,89.3,434,391,7
119,Dimarco,Inter,Defender,89.3,158,138,7
119,Lenglet,Barcelona,Defender,89.3,304,274,4
123,Weigl,Benfica,Midfielder,89.1,351,316,9
123,Casemiro,Real Madrid,Midfielder,89.1,538,482,11
125,Bastoni,Inter,Defender,89,432,387,8
125,Sergio Busquets,Barcelona,Midfielder,89,382,340,6
125,Rabiot,Juventus,Midfielder,89,267,243,7
125,Mingueza,Barcelona,Defender,89,140,119,5
