serial,player_name,club,position,saved,conceded,match_played
01,Courtois,Real Madrid,Goalkeeper,61,14,13
02,Rulli,Villarreal,Goalkeeper,41,16,12
03,Vlachodimos,Benfica,Goalkeeper,38,17,10
04,Athanasiadis,Sheriff,Goalkeeper,29,8,5
05,Mignolet,Club Brugge,Goalkeeper,28,20,6
06,Oblak,Atlético,Goalkeeper,26,10,10
07,Musso,Atalanta,Goalkeeper,21,13,6
08,Ersin Destanoğlu,Beşiktaş,Goalkeeper,20,17,5
09,De Gea,Man. United,Goalkeeper,19,9,7
09,Dahlin,Malmö,Goalkeeper,19,8,4
11,Diogo Costa,Porto,Goalkeeper,18,11,6
11,Trubin,Shakhtar Donetsk,Goalkeeper,18,9,3
11,Casteels,Wolfsburg,Goalkeeper,18,8,5
11,Donnarumma,Paris,Goalkeeper,18,6,5
15,Adán,Sporting CP,Goalkeeper,17,13,7
16,Köhn,Salzburg,Goalkeeper,16,14,8
16,Ter Stegen,Barcelona,Goalkeeper,16,9,6
18,Alisson Becker,Liverpool,Goalkeeper,15,14,13
19,Ederson,Man. City,Goalkeeper,14,14,11
19,Kobel,Dortmund,Goalkeeper,14,11,6
19,Szczęsny,Juventus,Goalkeeper,14,10,7
19,Maignan,Milan,Goalkeeper,14,7,3
19,Neuer,Bayern,Goalkeeper,14,6,9
19,Bounou,Sevilla,Goalkeeper,14,5,6
25,Bushchan,Dynamo Kyiv,Goalkeeper,13,11,5
25,Pasveer,Ajax,Goalkeeper,13,6,6
25,Diawara,Malmö,Goalkeeper,13,6,3
25,Grbić,LOSC,Goalkeeper,13,4,6
29,Handanovič,Inter,Goalkeeper,12,7,8
29,Kritsyuk,Zenit,Goalkeeper,12,6,4
29,Faivre,Young Boys,Goalkeeper,12,6,3
32,Gulácsi,Leipzig,Goalkeeper,11,14,5
32,Navas,Paris,Goalkeeper,11,5,3
34,Mendy,Chelsea,Goalkeeper,9,7,9
34,Von Ballmoos,Young Boys,Goalkeeper,9,6,3
36,Tătăruşanu,Milan,Goalkeeper,8,2,3
37,Celeadnic,Sheriff,Goalkeeper,6,3,1
38,M. Kerzhakov,Zenit,Goalkeeper,5,4,2
38,Pyatov,Shakhtar Donetsk,Goalkeeper,5,2,3
38,Pervan,Wolfsburg,Goalkeeper,5,2,1
41,Leo Jardim,LOSC,Goalkeeper,4,4,2
41,Kepa,Chelsea,Goalkeeper,4,3,1
41,Günok,Beşiktaş,Goalkeeper,4,2,1
41,Ulreich,Bayern,Goalkeeper,4,1,1
41,Boyko,Dynamo Kyiv,Goalkeeper,4,0,1
46,João Virginia,Sporting CP,Goalkeeper,3,4,1
46,Steffen,Man. City,Goalkeeper,3,2,1
46,Henderson,Man. United,Goalkeeper,3,1,1
46,Martínez,Leipzig,Goalkeeper,3,0,1
50,Onana,Ajax,Goalkeeper,2,2,2
50,Perin,Juventus,Goalkeeper,2,0,1
52,Shevchenko,Shakhtar Donetsk,Goalkeeper,1,1,1
52,Carson,Man. City,Goalkeeper,1,0,1
